Date,eq_log_ret,mom_5d,mom_21d,mom_63d,mom_126d,vol_5d,vol_21d,vol_63d,vix_level,vix_change_5d,eq_bond_corr_63d
2021-10-13,0.009393341950982403,0.029227586988552545,0.044979861910241725,0.15734489199290413,0.22556778196771776,0.04875197505565724,0.11229464168447996,0.0977502923624633,16.100000381469727,-0.07097516143400484,0.06822742386183855
2021-10-14,0.009687709975995773,0.03081452494818393,0.046753842102716714,0.15976127737380907,0.2329432305166954,0.054400738837296146,0.11356339892365891,0.09829589735030857,15.770000457763672,-0.02413362582493417,0.03836957363327474
2021-10-18,0.007524019573498464,0.032514394245488853,0.048075712938540516,0.1654540700344238,0.2455165551239078,0.0552819299982772,0.11421781437235375,0.09883789261524224,17.18000030517578,0.09776362453286724,0.004051189032077909
2021-10-20,-0.011455229459032878,0.017867563688968024,0.03875140124552434,0.14709683282881714,0.27642059554154197,0.14059153327867493,0.1227794535862448,0.10256817146660152,18.309999465942383,0.1379738528465726,0.0016124738981861389
2021-10-21,-0.004856682911585253,0.01034631591951185,0.04490450604470775,0.14159659139623648,0.2466592393682978,0.15315348354875194,0.11671359411074889,0.1034394090910119,18.040000915527344,0.13817037737222715,-0.014374429663315683
2021-10-22,-0.0034827257394312028,-0.0025795757223284754,0.03148276908239378,0.149977142620501,0.23923154736844499,0.14111074550767405,0.1150301667435597,0.10073111092995626,17.549999237060547,0.09006203858601736,0.03697034895009112
2021-10-25,0.0005794654054991355,-0.011623077154108152,0.03298350323941146,0.15949877774286314,0.2622628404353433,0.11127709231164214,0.11476579918553627,0.09877334569523487,17.610000610351562,0.1166772415458015,0.05024698187429608
2021-10-26,0.007858521663552054,-0.011292407705927432,0.024993123551425356,0.1544706074682234,0.2778321739369216,0.11315430822007717,0.10554533223546293,0.0973835049449379,16.75,-0.025029120927677506,0.08787666001929649
2021-10-27,-0.0031497940609632735,-0.00304656541529702,0.020038425361000867,0.1485174077446656,0.264109336981587,0.0816681756010143,0.10657412151186048,0.09798664333838872,16.829999923706055,-0.08083012481727314,0.07924213417462371
2021-10-28,-0.019613430387588338,-0.017650338389032072,0.00012043565547359414,0.12845942700048152,0.24515826518353911,0.15981393534740476,0.12822295504448494,0.10697449226633438,17.90999984741211,-0.007206267268165201,0.10894804153752154
