Date,Equity_NSE,Bond,Gold
2021-04-07,14819.0498046875,47.654300689697266,40.11000061035156
2021-04-08,14873.7998046875,47.690101623535156,40.279998779296875
2021-04-09,14834.849609375,47.691200256347656,40.45000076293945
2021-04-12,14310.7998046875,47.71390151977539,40.4900016784668
2021-04-15,14581.4501953125,47.64360046386719,40.720001220703125
2021-04-16,14617.849609375,47.70909881591797,40.83000183105469
2021-04-19,14359.4501953125,47.849700927734375,41.529998779296875
2021-04-20,14296.400390625,47.82870101928711,41.099998474121094
2021-04-22,14406.150390625,47.88819885253906,41.47999954223633
2021-04-23,14341.349609375,48.01390075683594,41.52000045776367
2021-04-26,14485.0,48.12120056152344,41.22999954223633
2021-04-27,14653.0498046875,48.1327018737793,41.08000183105469
2021-04-28,14864.5498046875,48.097999572753906,40.63999938964844
2021-04-29,14894.900390625,48.130401611328125,40.720001220703125
2021-04-30,14631.099609375,48.136600494384766,40.59000015258789
2021-05-03,14634.150390625,48.16640090942383,40.689998626708984
2021-05-04,14496.5,48.14080047607422,40.75
2021-05-05,14617.849609375,48.21070098876953,40.529998779296875
2021-05-06,14724.7998046875,48.2588005065918,40.81999969482422
2021-05-07,14823.150390625,48.23630142211914,41.2400016784668
2021-05-10,14942.349609375,48.24330139160156,41.459999084472656
2021-05-11,14850.75,48.2239990234375,41.400001525878906
2021-05-12,14696.5,48.27450180053711,41.38999938964844
2021-05-14,14677.7998046875,48.21009826660156,41.4900016784668
2021-05-17,14923.150390625,48.261600494384766,41.83000183105469
2021-05-18,15108.099609375,48.245201110839844,42.09000015258789
2021-05-19,15030.150390625,48.24089813232422,41.939998626708984
2021-05-20,14906.0498046875,48.284000396728516,42.130001068115234
2021-05-21,15175.2998046875,48.320701599121094,42.16999816894531
2021-05-24,15197.7001953125,48.334999084472656,42.20000076293945
2021-05-25,15208.4501953125,48.40010070800781,42.119998931884766
2021-05-27,15337.849609375,48.36000061035156,42.38999938964844
2021-05-28,15435.650390625,48.35540008544922,42.220001220703125
2021-05-31,15582.7998046875,48.295799255371094,42.59000015258789
2021-06-01,15574.849609375,48.26750183105469,42.83000183105469
2021-06-02,15576.2001953125,48.30189895629883,42.56999969482422
2021-06-03,15690.349609375,48.347599029541016,42.5099983215332
2021-06-04,15670.25,48.335899353027344,42.119998931884766
2021-06-07,15751.650390625,48.40439987182617,42.279998779296875
2021-06-08,15740.099609375,48.49789810180664,42.40999984741211
2021-06-09,15635.349609375,48.484100341796875,42.5
2021-06-10,15737.75,48.5546989440918,42.349998474121094
2021-06-11,15799.349609375,48.58340072631836,42.630001068115234
2021-06-14,15811.849609375,48.53200149536133,42.029998779296875
2021-06-15,15869.25,48.3400993347168,42.04999923706055
2021-06-16,15767.5498046875,48.26430130004883,42.09000015258789
2021-06-17,15691.400390625,48.287200927734375,41.349998474121094
