,Equity_NSE,Bond,Gold
Bull,0.7999999999926815,1.1319348878624335e-09,0.1999999988753836
Bear,2.891517394467143e-09,0.23415448699231675,0.7658455101161659
Crisis,0.039392692415035346,0.7106073058442826,0.25000000174068204
